customer_id,event_type,product_view_at,add_to_cart_at,checkout_at,purchase_at,Order Date,Expected Delivery Date,signup_date,sales_rep,acquisition,country,List Price,Discount,Final Price
CUST_10000,Add_to_Cart,2025-11-27 06:00:00,2025-11-27 23:00:00,,,,,2025-11-25,Daniel,Social,India,,,
CUST_10001,Purchase,2025-11-23 16:00:00,2025-11-24 07:00:00,2025-11-24 13:00:00,2025-11-24 19:00:00,2025-11-24 19:00:00,2025-11-28 19:00:00,2025-11-21,Eunice,Email,Germany,90,0.04,86.4
CUST_10002,Purchase,2025-02-02 08:00:00,2025-02-03 04:00:00,2025-02-03 11:00:00,2025-02-03 16:00:00,2025-02-03 16:00:00,2025-02-08 16:00:00,2025-02-01,Carol,Social,Germany,214,0.15,181.9
CUST_10003,Checkout,2025-11-08 20:00:00,2025-11-09 05:00:00,2025-11-09 11:00:00,,,,2025-11-07,Brian,Social,USA,,,
CUST_10004,Purchase,2025-03-11 01:00:00,2025-03-11 02:00:00,2025-03-11 03:00:00,2025-03-11 08:00:00,2025-03-11 08:00:00,2025-03-16 08:00:00,2025-03-10,Brian,Referral,Germany,309,0.17,256.47
CUST_10005,Product_View,2025-11-12 21:00:00,,,,,,2025-11-11,Carol,Organic,UK,,,
CUST_10006,Purchase,2025-04-20 04:00:00,2025-04-20 22:00:00,2025-04-21 09:00:00,2025-04-21 10:00:00,2025-04-21 10:00:00,2025-04-28 10:00:00,2025-04-19,Eunice,Social,USA,363,0.22,283.14
CUST_10007,Purchase,2025-03-13 13:00:00,2025-03-13 21:00:00,2025-03-14 08:00:00,2025-03-14 10:00:00,2025-03-14 10:00:00,2025-03-19 10:00:00,2025-03-12,Eunice,Paid Ads,Germany,103,0.14,88.58
CUST_10008,Checkout,2025-09-25 07:00:00,2025-09-25 23:00:00,2025-09-26 09:00:00,,,,2025-09-23,Eunice,Referral,Germany,,,
CUST_10009,Purchase,2025-03-25 17:00:00,2025-03-26 02:00:00,2025-03-26 14:00:00,2025-03-26 15:00:00,2025-03-26 15:00:00,2025-04-02 15:00:00,2025-03-25,Carol,Social,USA,361,0.02,353.78
CUST_10010,Add_to_Cart,2025-08-09 20:00:00,2025-08-10 11:00:00,,,,,2025-08-08,Daniel,Email,USA,,,
CUST_10011,Add_to_Cart,2025-02-08 20:00:00,2025-02-08 23:00:00,,,,,2025-02-06,Alice,Paid Ads,Germany,,,
CUST_10012,Checkout,2025-12-27 18:00:00,2025-12-28 14:00:00,2025-12-28 19:00:00,,,,2025-12-26,Eunice,Paid Ads,India,,,
CUST_10013,Purchase,2025-09-28 15:00:00,2025-09-29 12:00:00,2025-09-29 19:00:00,2025-09-29 23:00:00,2025-09-29 23:00:00,2025-10-06 23:00:00,2025-09-28,Carol,Email,India,121,0.06,113.74
CUST_10014,Checkout,2025-05-15 17:00:00,2025-05-16 02:00:00,2025-05-16 03:00:00,,,,2025-05-14,Alice,Email,India,,,
CUST_10015,Purchase,2025-01-10 17:00:00,2025-01-10 23:00:00,2025-01-11 03:00:00,2025-01-11 08:00:00,2025-01-11 08:00:00,2025-01-14 08:00:00,2025-01-09,Eunice,Social,India,334,0.11,297.26
CUST_10016,Purchase,2025-03-19 08:00:00,2025-03-20 07:00:00,2025-03-20 12:00:00,2025-03-20 18:00:00,2025-03-20 18:00:00,2025-03-23 18:00:00,2025-03-18,Carol,Social,USA,90,0.28,64.8
CUST_10017,Product_View,2025-12-21 05:00:00,,,,,,2025-12-20,Daniel,Email,Germany,,,
CUST_10018,Checkout,2026-01-01 04:00:00,2026-01-01 23:00:00,2026-01-02 07:00:00,,,,2025-12-31,Daniel,Organic,Kenya,,,
CUST_10019,Checkout,2025-07-02 08:00:00,2025-07-02 22:00:00,2025-07-03 07:00:00,,,,2025-07-01,Eunice,Referral,Kenya,,,
CUST_10020,Purchase,2025-03-30 16:00:00,2025-03-31 10:00:00,2025-03-31 18:00:00,2025-03-31 21:00:00,2025-03-31 21:00:00,2025-04-07 21:00:00,2025-03-30,Daniel,Paid Ads,Germany,423,0.29,300.33
CUST_10021,Checkout,2025-06-29 22:00:00,2025-06-30 15:00:00,2025-06-30 22:00:00,,,,2025-06-28,Daniel,Email,India,,,
CUST_10022,Add_to_Cart,2025-03-31 15:00:00,2025-03-31 23:00:00,,,,,2025-03-30,Carol,Organic,USA,,,
CUST_10023,Add_to_Cart,2025-12-22 12:00:00,2025-12-23 02:00:00,,,,,2025-12-22,Alice,Referral,Germany,,,
CUST_10024,Checkout,2026-01-01 11:00:00,2026-01-01 16:00:00,2026-01-01 23:00:00,,,,2025-12-30,Brian,Social,UK,,,
CUST_10025,Checkout,2025-04-06 13:00:00,2025-04-07 12:00:00,2025-04-07 14:00:00,,,,2025-04-04,Alice,Referral,UK,,,
CUST_10026,Add_to_Cart,2025-01-27 23:00:00,2025-01-28 13:00:00,,,,,2025-01-27,Eunice,Email,UK,,,
CUST_10027,Add_to_Cart,2025-02-18 05:00:00,2025-02-18 18:00:00,,,,,2025-02-17,Eunice,Referral,UK,,,
CUST_10028,Add_to_Cart,2025-07-17 14:00:00,2025-07-18 00:00:00,,,,,2025-07-16,Brian,Organic,Kenya,,,
CUST_10029,Purchase,2025-03-14 15:00:00,2025-03-15 13:00:00,2025-03-16 00:00:00,2025-03-16 06:00:00,2025-03-16 06:00:00,2025-03-21 06:00:00,2025-03-14,Alice,Social,UK,421,0.23,324.17
CUST_10030,Product_View,2025-08-01 23:00:00,,,,,,2025-08-01,Carol,Paid Ads,USA,,,
CUST_10031,Add_to_Cart,2025-02-27 16:00:00,2025-02-28 09:00:00,,,,,2025-02-25,Brian,Social,USA,,,
CUST_10032,Purchase,2025-02-19 10:00:00,2025-02-19 17:00:00,2025-02-20 01:00:00,2025-02-20 06:00:00,2025-02-20 06:00:00,2025-02-26 06:00:00,2025-02-19,Alice,Social,USA,287,0.06,269.78
CUST_10033,Purchase,2025-09-25 22:00:00,2025-09-26 01:00:00,2025-09-26 10:00:00,2025-09-26 14:00:00,2025-09-26 14:00:00,2025-10-02 14:00:00,2025-09-24,Carol,Referral,India,495,0.14,425.7
CUST_10034,Purchase,2025-05-14 06:00:00,2025-05-14 16:00:00,2025-05-15 02:00:00,2025-05-15 06:00:00,2025-05-15 06:00:00,2025-05-19 06:00:00,2025-05-12,Brian,Organic,UK,130,0.21,102.7
CUST_10035,Add_to_Cart,2025-10-06 06:00:00,2025-10-06 17:00:00,,,,,2025-10-06,Carol,Email,India,,,
CUST_10036,Purchase,2025-04-30 21:00:00,2025-05-01 14:00:00,2025-05-01 15:00:00,2025-05-01 17:00:00,2025-05-01 17:00:00,2025-05-05 17:00:00,2025-04-29,Daniel,Paid Ads,Germany,288,0.16,241.92
CUST_10037,Checkout,2025-04-09 03:00:00,2025-04-09 21:00:00,2025-04-10 04:00:00,,,,2025-04-08,Brian,Email,Germany,,,
CUST_10038,Purchase,2025-08-30 00:00:00,2025-08-30 15:00:00,2025-08-31 03:00:00,2025-08-31 07:00:00,2025-08-31 07:00:00,2025-09-06 07:00:00,2025-08-27,Eunice,Email,Germany,385,0.07,358.05
CUST_10039,Checkout,2025-09-19 16:00:00,2025-09-19 17:00:00,2025-09-20 01:00:00,,,,2025-09-19,Carol,Referral,India,,,
CUST_10040,Checkout,2025-07-06 12:00:00,2025-07-07 10:00:00,2025-07-07 21:00:00,,,,2025-07-06,Daniel,Paid Ads,Germany,,,
CUST_10041,Product_View,2025-01-29 00:00:00,,,,,,2025-01-27,Brian,Referral,Kenya,,,
CUST_10042,Add_to_Cart,2025-02-12 11:00:00,2025-02-12 22:00:00,,,,,2025-02-12,Eunice,Organic,India,,,
CUST_10043,Add_to_Cart,2025-12-29 02:00:00,2025-12-29 19:00:00,,,,,2025-12-28,Brian,Organic,UK,,,
CUST_10044,Purchase,2025-08-25 23:00:00,2025-08-26 14:00:00,2025-08-27 02:00:00,2025-08-27 06:00:00,2025-08-27 06:00:00,2025-09-03 06:00:00,2025-08-23,Alice,Social,USA,107,0.17,88.81
CUST_10045,Product_View,2025-10-29 07:00:00,,,,,,2025-10-27,Brian,Paid Ads,USA,,,
CUST_10046,Product_View,2025-12-02 08:00:00,,,,,,2025-12-01,Alice,Paid Ads,India,,,
CUST_10047,Purchase,2025-07-06 05:00:00,2025-07-06 13:00:00,2025-07-06 23:00:00,2025-07-07 04:00:00,2025-07-07 04:00:00,2025-07-11 04:00:00,2025-07-06,Daniel,Organic,India,198,0.0,198.0
CUST_10048,Checkout,2025-12-15 18:00:00,2025-12-15 23:00:00,2025-12-16 07:00:00,,,,2025-12-14,Eunice,Email,Kenya,,,
CUST_10049,Purchase,2025-04-26 16:00:00,2025-04-27 06:00:00,2025-04-27 16:00:00,2025-04-27 21:00:00,2025-04-27 21:00:00,2025-04-30 21:00:00,2025-04-26,Brian,Organic,UK,314,0.17,260.62
CUST_10050,Product_View,2025-07-15 13:00:00,,,,,,2025-07-14,Brian,Email,Kenya,,,
CUST_10051,Purchase,2025-12-06 06:00:00,2025-12-06 13:00:00,2025-12-06 18:00:00,2025-12-06 23:00:00,2025-12-06 23:00:00,2025-12-10 23:00:00,2025-12-06,Alice,Email,Kenya,50,0.09,45.5
CUST_10052,Product_View,2025-10-19 08:00:00,,,,,,2025-10-19,Daniel,Email,UK,,,
CUST_10053,Product_View,2025-02-02 08:00:00,,,,,,2025-01-31,Alice,Organic,USA,,,
CUST_10054,Purchase,2025-11-14 23:00:00,2025-11-15 07:00:00,2025-11-15 09:00:00,2025-11-15 14:00:00,2025-11-15 14:00:00,2025-11-19 14:00:00,2025-11-13,Alice,Email,India,70,0.18,57.4
CUST_10055,Product_View,2025-06-20 15:00:00,,,,,,2025-06-18,Brian,Referral,Germany,,,
CUST_10056,Add_to_Cart,2025-06-16 19:00:00,2025-06-17 12:00:00,,,,,2025-06-15,Eunice,Organic,UK,,,
CUST_10057,Add_to_Cart,2025-06-06 17:00:00,2025-06-07 07:00:00,,,,,2025-06-05,Carol,Social,Germany,,,
CUST_10058,Checkout,2025-04-29 09:00:00,2025-04-29 11:00:00,2025-04-29 21:00:00,,,,2025-04-27,Brian,Referral,UK,,,
CUST_10059,Purchase,2025-08-25 01:00:00,2025-08-25 23:00:00,2025-08-26 02:00:00,2025-08-26 07:00:00,2025-08-26 07:00:00,2025-08-31 07:00:00,2025-08-25,Carol,Paid Ads,Kenya,401,0.26,296.74
CUST_10060,Purchase,2025-12-30 07:00:00,2025-12-30 15:00:00,2025-12-31 02:00:00,2025-12-31 06:00:00,2025-12-31 06:00:00,2026-01-06 06:00:00,2025-12-29,Brian,Social,UK,456,0.04,437.76
CUST_10061,Product_View,2025-04-03 20:00:00,,,,,,2025-04-03,Brian,Organic,UK,,,
CUST_10062,Add_to_Cart,2025-04-22 09:00:00,2025-04-23 05:00:00,,,,,2025-04-20,Eunice,Paid Ads,Kenya,,,
CUST_10063,Checkout,2025-06-30 21:00:00,2025-07-01 19:00:00,2025-07-02 06:00:00,,,,2025-06-29,Eunice,Referral,Germany,,,
CUST_10064,Product_View,2026-01-01 03:00:00,,,,,,2025-12-31,Carol,Organic,India,,,
CUST_10065,Add_to_Cart,2025-09-02 04:00:00,2025-09-02 07:00:00,,,,,2025-09-01,Alice,Email,India,,,
CUST_10066,Purchase,2025-10-27 05:00:00,2025-10-27 12:00:00,2025-10-27 17:00:00,2025-10-27 20:00:00,2025-10-27 20:00:00,2025-11-03 20:00:00,2025-10-26,Daniel,Organic,India,337,0.14,289.82
